"Style","Style"
"Enabled Review","Enabled Review"
"Widget products","Widget products"
"Widget preferences","Widget preferences"
"Feedaty code","Feedaty code"
"Feedaty preferences","Feedaty preferences"
"Review products","Review products"
"Newest reviews first","Newest reviews first"
"Old reviews first","Old reviews first"
"Position Cms page","Position Cms page"
"Position Page content heading","Position Page content heading"
"Position Cart sidebar","Position Cart sidebar"
"Position Wishlist sidebar","Position Wishlist sidebar"
"Position Right product viewed","Position Right product viewed"
"Position Right product compared","Position Right product compared"
"Position Right poll","Position Right poll"
"Position Right","Position Right"
"Position Left","Position Left"
"Position Bottom container","Position Bottom container"
"Number of reviews","Number of reviews"
"After Content","After Content"
"Product Related","Product Related"
"After Price","After Price"
"After Stock Informations","After Stock Informations"
"Simple","Simple"
"Extra child","Extra child"
"Add to cart","Add to cart"
"Product description","Product description"
"Product attributes","Product attributes"
"Product upsell","Product upsell"
"Product additional","Product additional"
"Product tag list","Product tag list"
"Order options","Order options"
"Initial orders export","Initial orders export"
"Export to csv","Export to csv"
"Save now","Save now"
"Read all reviews","Read all reviews"
"Customers' Reviews","Customers' Reviews"
